timestamp,cpu_watts,gpu_watts
2026-05-10T16:05:17.945865Z,60.145,10.430
2026-05-10T16:05:17.987265Z,66.865,10.430
2026-05-10T16:05:18.025541Z,77.524,10.430
2026-05-10T16:05:18.062734Z,72.390,10.430
2026-05-10T16:05:18.100728Z,71.172,10.430
2026-05-10T16:05:18.137672Z,67.280,10.430
2026-05-10T16:05:18.174772Z,75.163,10.430
2026-05-10T16:05:18.211005Z,79.736,10.430
2026-05-10T16:05:18.247966Z,76.792,10.430
2026-05-10T16:05:18.285863Z,68.429,10.430
2026-05-10T16:05:18.323181Z,61.959,10.430
2026-05-10T16:05:18.362623Z,61.193,10.430
2026-05-10T16:05:18.398976Z,60.495,10.430
2026-05-10T16:05:18.436800Z,69.972,10.430
2026-05-10T16:05:18.478174Z,63.163,10.430
2026-05-10T16:05:18.517135Z,56.221,10.430
2026-05-10T16:05:18.554093Z,59.439,10.430
2026-05-10T16:05:18.590482Z,58.014,10.430
2026-05-10T16:05:18.628836Z,59.955,10.430
2026-05-10T16:05:18.666268Z,69.273,10.430
2026-05-10T16:05:18.704744Z,62.955,10.430
2026-05-10T16:05:18.742914Z,62.110,10.430
2026-05-10T16:05:18.780023Z,55.985,10.430
2026-05-10T16:05:18.817861Z,57.732,10.760
2026-05-10T16:05:18.854839Z,63.536,10.760
2026-05-10T16:05:18.892334Z,75.386,10.760
2026-05-10T16:05:18.929500Z,78.150,10.760
2026-05-10T16:05:18.967805Z,76.963,10.760
2026-05-10T16:05:19.010473Z,87.547,10.760
2026-05-10T16:05:19.047063Z,75.488,10.760
2026-05-10T16:05:19.084025Z,61.729,10.760
2026-05-10T16:05:19.123052Z,67.334,10.760
2026-05-10T16:05:19.160392Z,67.456,10.760
2026-05-10T16:05:19.196383Z,83.864,10.760
2026-05-10T16:05:19.233537Z,74.464,10.760
2026-05-10T16:05:19.270486Z,71.712,10.760
2026-05-10T16:05:19.309254Z,62.431,10.760
2026-05-10T16:05:19.346852Z,64.444,10.760
2026-05-10T16:05:19.384383Z,67.888,10.760
2026-05-10T16:05:19.421386Z,66.386,10.760
